Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
99,Saturday Jul 21,boxscore,SEA,,CHW,L,0,5,,59-40,2,6.0,Covey,Hernandez,,2:28,N,38186,-,
100,Sunday Jul 22,boxscore,SEA,,CHW,W,8,2,,60-40,2,5.0,Gonzales,Lopez,,2:53,D,38207,+,
101,Tuesday Jul 24,boxscore,SEA,,SFG,L,3,4,,60-41,2,6.0,Watson,Diaz,Smith,2:58,N,40276,-,
102,Wednesday Jul 25,boxscore,SEA,,SFG,W,3,2,,61-41,2,5.0,Colome,Watson,Diaz,2:37,D,45548,+,
103,Friday Jul 27,boxscore,SEA,@,LAA,L-wo,3,4,10,61-42,2,5.0,Johnson,Nicasio,,2:54,N,42336,-,
104,Saturday Jul 28,boxscore,SEA,@,LAA,L,5,11,,61-43,2,5.0,Barria,Hernandez,,2:41,N,43325,--,
105,Sunday Jul 29,boxscore,SEA,@,LAA,W,8,5,,62-43,2,4.0,Gonzales,Pena,Diaz,3:32,D,35396,+,
106,Monday Jul 30,boxscore,SEA,,HOU,W,2,0,,63-43,2,3.0,Paxton,Cole,Diaz,2:19,N,35198,++,
107,Tuesday Jul 31,boxscore,SEA,,HOU,L,2,5,,63-44,2,4.0,Morton,Leake,Rondon,3:09,N,28478,-,
108,Wednesday Aug 1,boxscore,SEA,,HOU,L,3,8,,63-45,2,5.0,Keuchel,LeBlanc,,3:02,D,34575,--,
109,Thursday Aug 2,boxscore,SEA,,TOR,L,3,7,,63-46,3,5.5,Hauschild,Nicasio,,3:01,N,26110,---,
110,Friday Aug 3,boxscore,SEA,,TOR,L,2,7,,63-47,3,6.5,Borucki,Gonzales,,2:23,N,30715,----,
111,Saturday Aug 4,boxscore,SEA,,TOR,L,1,5,,63-48,3,7.5,Estrada,Paxton,,2:34,N,41238,-----,
112,Sunday Aug 5,boxscore,SEA,,TOR,W,6,3,,64-48,3,6.5,Duke,Biagini,Diaz,2:37,D,40515,+,
113,Monday Aug 6,boxscore,SEA,@,TEX,W,4,3,12,65-48,3,6.5,Tuivailala,Butler,Diaz,3:54,N,17759,++,
114,Tuesday Aug 7,boxscore,SEA,@,TEX,L,4,11,,65-49,3,7.5,Colon,Hernandez,,2:26,N,17575,-,
115,Wednesday Aug 8,boxscore,SEA,@,TEX,L,7,11,,65-50,3,8.0,Gallardo,Gonzales,,3:13,D,20116,--,
116,Thursday Aug 9,boxscore,SEA,@,HOU,W,8,6,,66-50,3,7.0,Paxton,Verlander,Diaz,3:36,N,34976,+,
117,Friday Aug 10,boxscore,SEA,@,HOU,W,5,2,,67-50,3,6.0,Warren,Cole,Diaz,2:48,N,41236,++,
118,Saturday Aug 11,boxscore,SEA,@,HOU,W,3,2,,68-50,3,5.0,LeBlanc,Morton,Diaz,2:56,N,38888,+++,
119,Sunday Aug 12,boxscore,SEA,@,HOU,W,4,3,10,69-50,3,4.0,Duke,Osuna,Diaz,3:10,D,40048,++++,
120,Monday Aug 13,boxscore,SEA,@,OAK,L,6,7,,69-51,3,4.5,Manaea,Gonzales,Treinen,3:09,N,10400,-,
121,Tuesday Aug 14,boxscore,SEA,@,OAK,L,2,3,,69-52,3,4.5,Fiers,Hernandez,Treinen,2:28,N,17419,--,
122,Wednesday Aug 15,boxscore,SEA,@,OAK,W,2,0,12,70-52,3,4.5,Pazos,Petit,Diaz,3:13,D,17078,+,
123,Friday Aug 17,boxscore,SEA,,LAD,L,1,11,,70-53,3,4.5,Buehler,LeBlanc,,2:44,N,46796,-,
124,Saturday Aug 18,boxscore,SEA,,LAD,W-wo,5,4,10,71-53,3,3.5,Warren,Ferguson,,3:36,N,43264,+,
125,Sunday Aug 19,boxscore,SEA,,LAD,L,1,12,,71-54,3,4.5,Kershaw,Elias,,3:12,D,45419,-,
126,Monday Aug 20,boxscore,SEA,,HOU,W,7,4,,72-54,3,3.5,Colome,McHugh,Diaz,3:05,N,27072,+,
127,Tuesday Aug 21,boxscore,SEA,,HOU,L,2,3,,72-55,3,4.5,Valdez,Detwiler,Rondon,2:56,N,25415,-,
128,Wednesday Aug 22,boxscore,SEA,,HOU,L,7,10,,72-56,3,5.5,Morton,Gonzales,Osuna,3:13,D,31062,--,
129,Friday Aug 24,boxscore,SEA,@,ARI,W,6,3,,73-56,3,5.5,Ramirez,Godley,Diaz,2:47,N,43867,+,
130,Saturday Aug 25,boxscore,SEA,@,ARI,W,4,3,10,74-56,3,5.5,Colome,Diekman,Diaz,4:11,N,34968,++,
131,Sunday Aug 26,boxscore,SEA,@,ARI,L,2,5,,74-57,3,6.5,Greinke,Leake,Boxberger,2:48,D,37175,-,
132,Tuesday Aug 28,boxscore,SEA,@,SDP,L,1,2,,74-58,3,7.0,Nix,Hernandez,Yates,2:13,N,25168,--,
133,Wednesday Aug 29,boxscore,SEA,@,SDP,L,3,8,,74-59,3,8.0,Lucchesi,Ramirez,,3:16,D,20266,---,
134,Thursday Aug 30,boxscore,SEA,@,OAK,W,7,1,,75-59,3,7.0,LeBlanc,Montas,,2:40,N,10844,+,
135,Friday Aug 31,boxscore,SEA,@,OAK,L,5,7,,75-60,3,7.0,Petit,Leake,Treinen,3:07,N,17942,-,
136,Saturday Sep 1,boxscore,SEA,@,OAK,W,8,7,,76-60,3,7.0,Paxton,Hendriks,Diaz,3:33,N,28760,+,
137,Sunday Sep 2,boxscore,SEA,@,OAK,L,2,8,,76-61,3,8.0,Jackson,Hernandez,Treinen,2:53,D,21497,-,
138,Monday Sep 3,boxscore,SEA,,BAL,W,2,1,,77-61,3,8.0,Ramirez,Rogers,Diaz,2:33,N,20579,+,
139,Tuesday Sep 4,boxscore,SEA,,BAL,L,3,5,,77-62,3,9.0,Cobb,Warren,Givens,3:19,N,11265,-,
140,Wednesday Sep 5,boxscore,SEA,,BAL,W,5,2,,78-62,3,9.0,Leake,Cashner,Diaz,3:04,N,15017,+,
