yearID,lgID,R,RA,G,leagueRPG,leagueRAPG
1987,NL,8771,8771,1942,4.516477857878476,4.516477857878476
1987,AL,11112,11112,2268,4.8994708994708995,4.8994708994708995
1988,NL,7522,7522,1934,3.889348500517063,3.889348500517063
1988,AL,9858,9858,2262,4.358090185676392,4.358090185676392
1989,NL,7673,7673,1940,3.955154639175258,3.955154639175258
1989,AL,9732,9732,2266,4.294792586054722,4.294792586054722
1990,NL,8173,8173,1944,4.204218106995885,4.204218106995885
1990,AL,9746,9746,2266,4.300970873786408,4.300970873786408
1991,NL,7955,7955,1940,4.100515463917525,4.100515463917525
1991,AL,10172,10172,2268,4.485008818342152,4.485008818342152
1992,NL,7539,7539,1944,3.878086419753086,3.878086419753086
1992,AL,9802,9802,2268,4.321869488536155,4.321869488536155
1993,NL,10190,10190,2268,4.49294532627866,4.49294532627866
1993,AL,10674,10674,2268,4.7063492063492065,4.7063492063492065
1994,NL,7422,7422,1604,4.627182044887781,4.627182044887781
1994,AL,8330,8330,1594,5.225846925972396,5.225846925972396
1995,NL,9329,9329,2014,4.632075471698113,4.632075471698113
1995,AL,10225,10225,2018,5.066897918731417,5.066897918731417
1996,NL,10623,10623,2268,4.6838624338624335,4.6838624338624335
1996,AL,12208,12208,2264,5.392226148409894,5.392226148409894
1997,AL,11164,11177,2264,4.931095406360424,4.936837455830389
1997,NL,10440,10427,2268,4.603174603174603,4.597442680776014
1998,AL,11365,11354,2266,5.015445719329215,5.010591350397176
1998,NL,11932,11943,2594,4.599845797995374,4.60408635312259
1999,AL,11725,11853,2263,5.1811754308440126,5.237737516570924
1999,NL,12966,12838,2591,5.004245465071401,4.954843689695099
2000,AL,11995,11950,2265,5.295805739514349,5.2759381898454745
2000,NL,12976,13021,2591,5.008104978772675,5.025472790428406
2001,AL,11013,11013,2264,4.864399293286219,4.864399293286219
2001,NL,12186,12186,2592,4.701388888888889,4.701388888888889
2002,AL,10892,10862,2264,4.810954063604241,4.7977031802120145
2002,NL,11516,11546,2586,4.453209590100541,4.4648105181747875
2003,AL,11033,11061,2268,4.864638447971782,4.876984126984127
2003,NL,11945,11917,2590,4.611969111969112,4.601158301158301
2004,AL,11358,11316,2266,5.012356575463372,4.993821712268314
2004,NL,12018,12060,2590,4.64015444015444,4.656370656370656
2005,NL,11535,11709,2592,4.450231481481482,4.517361111111111
2005,AL,10790,10616,2268,4.757495590828924,4.680776014109347
2006,NL,12337,12558,2590,4.763320463320463,4.848648648648648
2006,AL,11262,11041,2268,4.965608465608466,4.868165784832452
2007,NL,12208,12388,2594,4.706245181187356,4.775636083269083
2007,AL,11114,10934,2268,4.900352733686067,4.820987654320987
2008,NL,11741,11976,2588,4.536707882534776,4.6275115919629055
2008,AL,10844,10609,2268,4.781305114638448,4.677689594356261
2009,NL,11481,11626,2590,4.4328185328185326,4.488803088803089
2009,AL,10938,10793,2270,4.818502202643172,4.754625550660793
2010,NL,11211,11281,2592,4.325231481481482,4.352237654320987
2010,AL,10097,10027,2268,4.451940035273369,4.421075837742505
2011,NL,10691,10772,2590,4.127799227799228,4.159073359073359
2011,AL,10117,10036,2268,4.460758377425044,4.425044091710759
2012,NL,10929,11037,2592,4.216435185185185,4.258101851851852
2012,AL,10088,9980,2268,4.447971781305115,4.400352733686067
2013,NL,9730,9819,2430,4.004115226337449,4.04074074074074
2013,AL,10525,10436,2432,4.3277138157894735,4.291118421052632
2014,NL,9600,9709,2430,3.950617283950617,3.9954732510288067
2014,AL,10161,10052,2430,4.181481481481481,4.136625514403292
2015,NL,9996,10225,2430,4.11358024691358,4.207818930041152
2015,AL,10651,10422,2428,4.386738056013179,4.292421746293246
2016,NL,10774,10888,2426,4.441055234954658,4.488046166529267
2016,AL,10970,10856,2428,4.518121911037891,4.471169686985173
2017,NL,11139,11245,2430,4.583950617283951,4.627572016460905
2017,AL,11443,11337,2430,4.709053497942387,4.665432098765432
2018,NL,10631,10555,2432,4.371299342105263,4.340049342105263
2018,AL,10999,11075,2430,4.526337448559671,4.55761316872428
